,coeff,|coeff|,signe_coeff
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.04382640017911139,0.04382640017911139,1
ORGANIZATION_TYPE_Business Entity Type 3,0.1092920041621164,0.1092920041621164,1
ORGANIZATION_TYPE_School,-0.10628712829402176,0.10628712829402176,-1
ORGANIZATION_TYPE_Government,-0.051383024296235785,0.051383024296235785,-1
ORGANIZATION_TYPE_Religion,-0.012730100397071998,0.012730100397071998,-1
ORGANIZATION_TYPE_Other,-0.00028660716641462766,0.00028660716641462766,-1
ORGANIZATION_TYPE_XNA,-0.017557929186468327,0.017557929186468327,-1
ORGANIZATION_TYPE_Electricity,-0.07507359599208667,0.07507359599208667,-1
ORGANIZATION_TYPE_Medicine,0.010699503161427672,0.010699503161427672,1
ORGANIZATION_TYPE_Business Entity Type 2,0.07277456617436599,0.07277456617436599,1
ORGANIZATION_TYPE_Self-employed,0.141443847384062,0.141443847384062,1
ORGANIZATION_TYPE_Transport: type 2,0.012422098041604159,0.012422098041604159,1
ORGANIZATION_TYPE_Construction,0.24066804197548813,0.24066804197548813,1
ORGANIZATION_TYPE_Housing,-0.0019421755372593878,0.0019421755372593878,-1
ORGANIZATION_TYPE_Kindergarten,-0.020711095726406618,0.020711095726406618,-1
ORGANIZATION_TYPE_Trade: type 7,0.035038062704234485,0.035038062704234485,1
ORGANIZATION_TYPE_Industry: type 11,0.023062523059159016,0.023062523059159016,1
ORGANIZATION_TYPE_Military,-0.28552029945815754,0.28552029945815754,-1
ORGANIZATION_TYPE_Services,0.048102056960081754,0.048102056960081754,1
ORGANIZATION_TYPE_Security Ministries,-0.19264777807550806,0.19264777807550806,-1
ORGANIZATION_TYPE_Transport: type 4,0.0920427720923206,0.0920427720923206,1
ORGANIZATION_TYPE_Industry: type 1,0.0291464657273384,0.0291464657273384,1
ORGANIZATION_TYPE_Emergency,-0.024518381549487458,0.024518381549487458,-1
ORGANIZATION_TYPE_Security,-0.049360740984881704,0.049360740984881704,-1
ORGANIZATION_TYPE_Trade: type 2,-0.1882299467455261,0.1882299467455261,-1
ORGANIZATION_TYPE_University,-0.033101547441938425,0.033101547441938425,-1
ORGANIZATION_TYPE_Transport: type 3,0.328686099986883,0.328686099986883,1
ORGANIZATION_TYPE_Police,-0.08902522659551279,0.08902522659551279,-1
ORGANIZATION_TYPE_Business Entity Type 1,0.01770260979491109,0.01770260979491109,1
ORGANIZATION_TYPE_Postal,0.08922233424267792,0.08922233424267792,1
ORGANIZATION_TYPE_Industry: type 4,0.036144642640554926,0.036144642640554926,1
ORGANIZATION_TYPE_Agriculture,0.08192738444231616,0.08192738444231616,1
ORGANIZATION_TYPE_Restaurant,0.11892013625626058,0.11892013625626058,1
ORGANIZATION_TYPE_Culture,0.02096938440729971,0.02096938440729971,1
ORGANIZATION_TYPE_Hotel,-0.14070838850249034,0.14070838850249034,-1
ORGANIZATION_TYPE_Industry: type 7,-0.03485321207280241,0.03485321207280241,-1
ORGANIZATION_TYPE_Trade: type 3,0.12893351742972303,0.12893351742972303,1
ORGANIZATION_TYPE_Industry: type 3,0.0452380052347676,0.0452380052347676,1
ORGANIZATION_TYPE_Bank,-0.15802490942230482,0.15802490942230482,-1
ORGANIZATION_TYPE_Industry: type 9,-0.2524123490180519,0.2524123490180519,-1
ORGANIZATION_TYPE_Insurance,0.044940472792361255,0.044940472792361255,1
ORGANIZATION_TYPE_Trade: type 6,-0.07261608688125236,0.07261608688125236,-1
ORGANIZATION_TYPE_Industry: type 2,-0.0402112893976599,0.0402112893976599,-1
ORGANIZATION_TYPE_Transport: type 1,-0.03530320758669123,0.03530320758669123,-1
ORGANIZATION_TYPE_Industry: type 12,-0.08822390263104507,0.08822390263104507,-1
ORGANIZATION_TYPE_Mobile,0.06492225771109698,0.06492225771109698,1
ORGANIZATION_TYPE_Trade: type 1,0.012319912071684815,0.012319912071684815,1
ORGANIZATION_TYPE_Industry: type 5,-0.1326875384871891,0.1326875384871891,-1
ORGANIZATION_TYPE_Industry: type 10,-0.007317245348706255,0.007317245348706255,-1
ORGANIZATION_TYPE_Legal Services,0.06194220648004452,0.06194220648004452,1
ORGANIZATION_TYPE_Advertising,0.040006975715465395,0.040006975715465395,1
ORGANIZATION_TYPE_Trade: type 5,-0.024775106612263564,0.024775106612263564,-1
ORGANIZATION_TYPE_Cleaning,0.013316283097865486,0.013316283097865486,1
ORGANIZATION_TYPE_Industry: type 13,-0.030256419356609443,0.030256419356609443,-1
ORGANIZATION_TYPE_Trade: type 4,-0.03450192068066364,0.03450192068066364,-1
ORGANIZATION_TYPE_Telecom,0.08746306203701101,0.08746306203701101,1
ORGANIZATION_TYPE_Industry: type 8,-0.0006330685857357459,0.0006330685857357459,-1
ORGANIZATION_TYPE_Realtor,0.19477151663481532,0.19477151663481532,1
ORGANIZATION_TYPE_Industry: type 6,-0.003307416114358357,0.003307416114358357,-1
FONDKAPREMONT_MODE_reg oper account,-0.025237151847368536,0.025237151847368536,-1
FONDKAPREMONT_MODE_manquant,0.0,0.0,0
FONDKAPREMONT_MODE_org spec account,-0.10298744363128763,0.10298744363128763,-1
FONDKAPREMONT_MODE_reg oper spec account,-0.13063409896746836,0.13063409896746836,-1
